precipitation,erosion
dam,hydroelectricity
total_suspended_solids,water_quality
biological_oxygen_demand,wastewater
biological_oxygen_demand,water_quality
chemical_oxygen_demand,wastewater
chemical_oxygen_demand,water_quality
bus,accessibility
train,accessibility
bike,accessibility
car,accessibility
car,transportation
o3,environmental_health
co,environmental_health
so2,environmental_health
fertilizer,agriculture
projection,climate_model
baseline,climate_model
trend,climate_model
food_production,agriculture
