schengen_area,europe
mangroves,coast
mangroves,wetland
dam,river
harmful_algal_blooms,ocean
harmful_algal_blooms,lake
harmful_algal_blooms,river
eutrophication,ocean
eutrophication,lake
eutrophication,river
crop,cropland
beef,pasture
lamb,pasture
seafood,ocean
seafood,river
seafood,lake
seafood,wetland
seafood,coast
sea_level,coast
thermal_expansion,ocean
thermal_expansion,sea
bus,urban
bus,roads
bike,roads
car,roads
eruption,volcano
hurricane,coast
tsunami,coast
coral_reef,ocean
coral_reef,sea
reef,ocean
marine_life,ocean
storm_surge,coast
sea_level_rise,coast
dead_zone,ocean
dead_zone,lake
dead_zone,river
