schengen_area,europe
mangrove,coast
mangrove,wetland
dam,river
crop,cropland
beef,pasture
lamb,pasture
maize,cropland
sea_ice,sea
sea_ice,ocean
sea_surface_temperature,sea
sea_surface_temperature,ocean
thermal_expansion,ocean
thermal_expansion,sea
bus,urban
bus,roads
bike,roads
car,roads
eruption,volcano
hurricane,sea
hurricane,ocean
typhoon,sea
typhoon,ocean
mammal,ocean
mammal,sea
mammal,terrestrial
coral_reef,ocean
coral_reef,sea
reef,ocean
marine_life,sea
marine_life,ocean
vulnerability,coast
reserve,land
protected_area,land
dead_zone,ocean
dead_zone,bay
